date,status,An,ap,ar,as,br,ch,ct,dd,dl,dn,ga,gj,hp,hr,jh,jk,ka,kl,la,ld,mh,ml,mn,mp,mz,nl,or,pb,py,rj,sk,tg,tn,tr,tt,un,up,ut,wb
14-Mar-20,Confirmed,0,1,0,0,0,0,0,0,7,0,0,0,0,14,0,2,6,19,0,0,14,0,0,0,0,0,0,1,0,3,0,1,1,0,81,0,12,0,0
14-Mar-20,Recovered,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,4,0,0
14-Mar-20,Deceased,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
15-Mar-20,Confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,18,0,0,0,0,0,0,0,0,1,0,2,0,0,27,0,1,0,0
15-Mar-20,Recovered,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,0,0,0,0
15-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Mar-20,Confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,6,0,0,0,0,0,1,0,1,0,0,1,0,0,15,0,0,1,0
16-Mar-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
16-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-Mar-20,Confirmed,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,2,0,1
17-Mar-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
17-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18-Mar-20,Confirmed,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,5,0,8,0,3,0,0,0,0,0,1,1,0,3,0,8,1,0,37,0,2,1,0
18-Mar-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-Mar-20,Confirmed,0,2,0,0,0,1,1,0,4,0,0,2,0,1,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,2,0,3,1,0,27,0,3,1,0
19-Mar-20,Recovered,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0
19-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
20-Mar-20,Confirmed,0,0,0,0,0,4,0,0,6,0,0,5,2,2,0,0,0,12,2,0,4,0,0,4,0,0,0,1,0,8,0,3,0,0,58,0,4,0,1
20-Mar-20,Recovered,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
20-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Mar-20,Confirmed,0,2,0,0,0,0,0,0,7,0,0,7,0,2,0,0,5,12,3,0,12,0,0,0,0,0,0,10,0,7,0,2,3,0,78,0,4,0,2
21-Mar-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Mar-20,Confirmed,0,1,0,0,2,1,0,0,0,0,0,4,0,0,0,0,6,15,0,0,10,0,0,2,0,0,0,8,0,4,0,6,3,0,67,0,2,0,3
22-Mar-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Mar-20,Deceased,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
23-Mar-20,Confirmed,0,1,0,0,1,1,0,0,3,0,0,12,1,7,0,0,7,28,0,0,23,0,0,0,0,0,0,2,0,4,0,6,3,0,102,0,2,1,0
23-Mar-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
23-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
24-Mar-20,Confirmed,0,1,0,0,0,0,0,0,0,0,0,4,0,2,0,2,8,14,0,0,10,0,1,1,0,0,0,6,0,0,0,4,6,0,64,0,3,0,2
24-Mar-20,Recovered,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0
24-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
25-Mar-20,Confirmed,0,2,0,0,1,0,2,0,5,0,3,4,0,1,0,5,10,9,0,0,15,0,0,8,1,0,0,2,0,6,0,4,8,0,90,0,3,1,0
25-Mar-20,Recovered,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
25-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26-Mar-20,Confirmed,1,1,0,0,3,0,3,0,1,0,0,5,0,1,0,3,4,19,0,0,3,0,0,5,0,0,1,2,0,2,0,3,3,0,65,0,4,0,1
26-Mar-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
26-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
27-Mar-20,Confirmed,5,2,0,0,2,1,0,0,4,0,0,4,0,1,0,6,9,39,0,0,31,0,0,9,0,0,0,5,0,10,0,15,9,0,164,0,7,0,5
27-Mar-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,18,0,0,0,0,0,0,1,0,0,0,0,1,0,26,0,0,0,0
27-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
28-Mar-20,Confirmed,3,6,0,0,2,0,1,0,9,0,0,8,0,2,0,13,17,6,0,0,30,0,0,10,0,0,0,0,0,4,0,8,4,0,143,0,16,1,3
28-Mar-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0
28-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0
29-Mar-20,Confirmed,0,2,0,0,4,0,0,0,23,0,2,8,0,0,0,5,2,20,0,0,17,0,0,0,0,0,0,0,0,5,0,3,8,0,110,0,7,1,3
29-Mar-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
29-Mar-20,Deceased,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
30-Mar-20,Confirmed,1,2,0,0,0,5,1,0,25,0,0,7,0,1,0,11,5,32,0,0,17,0,0,8,0,0,0,3,0,20,0,7,17,0,187,0,24,0,1
30-Mar-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,1,4,0,0,14,0,0,0,0,0,0,0,0,0,0,13,2,0,49,0,6,1,0
30-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,5,0,0,13,0,0,0,1
31-Mar-20,Confirmed,0,21,0,1,6,2,1,0,23,0,0,4,0,7,1,6,13,7,0,0,82,0,0,19,0,0,1,1,0,14,0,20,57,0,309,0,8,0,15
31-Mar-20,Recovered,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,0,0,0,3
31-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,6,0,0,0,1
01-Apr-20,Confirmed,0,67,0,15,3,2,0,0,32,0,0,13,0,0,0,7,9,24,0,0,33,0,0,32,0,0,1,4,2,27,0,30,110,0,424,0,13,0,0
01-Apr-20,Recovered,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0
01-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,9,0,2,0,0
02-Apr-20,Confirmed,0,38,1,0,5,1,0,0,141,0,0,1,3,6,1,8,14,21,0,0,88,0,1,9,0,0,0,1,2,13,0,27,75,0,486,0,11,3,16
02-Apr-20,Recovered,0,0,0,0,3,0,1,0,2,0,0,5,0,0,0,1,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,22,0,0,0,0
02-Apr-20,Deceased,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0
03-Apr-20,Confirmed,0,15,0,7,2,0,0,0,93,0,1,7,0,9,0,5,4,9,1,0,64,0,0,47,0,0,15,6,0,46,0,75,102,0,560,0,46,6,0
